Tiempo;Lux;;;;
38,68241266;804,83;;;;
38,72765007;804,83;;;;
38,78124657;804,83;;;;
38,82992596;804,83;;;;
38,87860535;804,83;;;;
38,92728474;804,83;;;;
38,97645584;804,83;;;;
39,02710207;804,83;;;;
39,07528975;804,83;;;;
39,12200229;804,83;;;;
39,17363195;804,83;;;;
39,21936107;811,41;;;;
39,27197415;902,84;;;;
39,3191784;893,1;;;;
39,36982464;893,1;;;;
39,41801232;902,84;;;;
39,4666917;965,49;;;;
39,51782965;926,73;;;;
39,56700075;923,98;;;;
39,614205;923,98;;;;
39,66583466;923,98;;;;
39,7125472;923,98;;;;
39,76417686;923,98;;;;
39,81334796;923,98;;;;
39,86202735;923,98;;;;
39,91021503;923,98;;;;
39,96086126;923,98;;;;
40,00806552;923,98;;;;
40,06067859;923,98;;;;
40,10788285;923,98;;;;
40,15803737;923,98;;;;
40,2042582;923,98;;;;
40,25637957;923,98;;;;
40,30505896;923,98;;;;
40,35373835;923,98;;;;
40,40340116;923,98;;;;
40,45109713;923,98;;;;
40,50174336;923,98;;;;
40,55238959;923,98;;;;
40,59959385;923,98;;;;
40,65073179;923,98;;;;
40,6959692;923,98;;;;
40,74858228;923,98;;;;
40,79480312;923,98;;;;
40,84692448;923,98;;;;
40,89314532;923,98;;;;
40,94428326;923,98;;;;
40,99296265;923,98;;;;
41,04360888;923,98;;;;
41,09081314;923,98;;;;
41,14145937;923,98;;;;
41,18817192;923,98;;;;
41,24029328;923,98;;;;
41,2860224;923,98;;;;
41,33863548;923,98;;;;
41,38534803;923,98;;;;
41,43156886;923,98;;;;
41,48516536;923,98;;;;
41,53482817;923,98;;;;
41,58203243;923,98;;;;
41,63366208;923,98;;;;
41,67742436;923,98;;;;
41,7329877;923,98;;;;
41,77920854;923,98;;;;
41,82985477;923,98;;;;
41,87755074;923,98;;;;
41,92672184;923,98;;;;
41,97785978;923,98;;;;
42,02703088;923,98;;;;
42,07276;923,98;;;;
42,12389795;923,98;;;;
42,16864365;923,98;;;;
42,2246987;923,98;;;;
42,26993612;923,98;;;;
42,32205748;923,98;;;;
42,37122858;923,98;;;;
42,42039968;923,98;;;;
42,46760394;923,98;;;;
42,51923359;923,98;;;;
42,56594614;923,98;;;;
42,61757579;923,98;;;;
42,66035465;923,98;;;;
42,7164097;923,98;;;;
42,76508909;923,98;;;;
42,81376848;923,98;;;;
42,86293958;923,98;;;;
42,90965213;923,98;;;;
42,95980665;923,98;;;;
43,01094459;923,98;;;;
43,05569029;923,98;;;;
43,10584482;923,98;;;;
43,15354078;923,98;;;;
43,2081207;923,98;;;;
43,25434154;923,98;;;;
43,30547948;923,98;;;;
43,35415887;923,98;;;;
43,40332997;923,98;;;;
43,45151765;923,98;;;;
43,50216388;923,98;;;;
43,55035156;923,98;;;;
43,6014895;923,98;;;;
43,64426836;923,98;;;;
43,70130684;923,98;;;;
43,74359398;923,98;;;;
43,79915733;923,98;;;;
43,84341132;923,98;;;;
43,89356584;923,98;;;;
43,94372036;923,98;;;;
43,9948583;923,98;;;;
44,04058743;923,98;;;;
44,09270879;923,98;;;;
44,13548765;923,98;;;;
44,19252613;923,98;;;;
44,23874696;923,98;;;;
44,28939319;1000,9;;;;
44,3346306;1052,48;;;;
44,38576855;1060,35;;;;
44,43543136;1049,5;;;;
44,48509417;1057,34;;;;
44,531315;1057,34;;;;
44,58540321;1083,87;;;;
44,62670694;1057,34;;;;
44,68374541;1031,25;;;;
44,73045796;1031,25;;;;
44,78110419;1049,5;;;;
44,82781674;1046,52;;;;
44,87600442;1057,34;;;;
44,92714236;1057,34;;;;
44,97778859;1057,34;;;;
45,02400943;1057,34;;;;
45,0766225;1057,34;;;;
45,11940136;1057,34;;;;
45,1749647;1057,34;;;;
45,22118554;1046,52;;;;
45,27183177;1057,34;;;;
45,31756089;1049,5;;;;
45,36771542;1054,35;;;;
45,41688652;1046,52;;;;
45,46900788;1057,34;;;;
45,51621214;1049,5;;;;
45,56685837;1049,5;;;;
45,61062065;1049,5;;;;
45,6666757;1049,5;;;;
45,71437167;1057,34;;;;
45,76255935;1057,34;;;;
45,81222216;1049,5;;;;
45,85795128;1057,34;;;;
45,90908923;1057,34;;;;
45,96022717;1057,34;;;;
46,00693972;1046,52;;;;
46,05709424;1057,34;;;;
46,10380678;1049,5;;;;
46,15691157;1049,5;;;;
46,20460754;1057,34;;;;
46,25427035;1057,34;;;;
46,30196632;1049,5;;;;
46,35113742;1057,34;;;;
46,40129194;1057,34;;;;
46,45144646;1049,5;;;;
46,49668387;1049,5;;;;
46,55077208;1057,34;;;;
46,59404265;1049,5;;;;
46,64813086;1049,5;;;;
46,69779367;1049,5;;;;
46,74696477;1049,5;;;;
46,79416903;1057,34;;;;
46,84334013;1049,5;;;;
46,88956096;1057,34;;;;
46,94364917;1057,34;;;;
46,98987;1057,34;;;;
47,04149966;1049,5;;;;
47,08526194;1049,5;;;;
47,13984186;1049,5;;;;
47,18802954;1049,5;;;;
47,23720064;1049,5;;;;
47,2848966;1057,34;;;;
47,3340677;1049,5;;;;
47,3832388;1049,5;;;;
47,43486846;1049,5;;;;
47,47863074;1057,34;;;;
47,53271895;1057,34;;;;
47,57549781;1049,5;;;;
47,63106115;1057,34;;;;
47,67728198;1057,34;;;;
47,72940335;1049,5;;;;
47,77611589;1049,5;;;;
47,82430357;1049,5;;;;
47,87347467;1049,5;;;;
47,92608775;1057,34;;;;
47,97083345;1057,34;;;;
48,02442995;1049,5;;;;
48,06819223;1057,34;;;;
48,1208053;1049,5;;;;
48,16653443;1049,5;;;;
48,22111435;1057,34;;;;
48,26536834;1057,34;;;;
48,31503115;1057,34;;;;
48,36420225;1049,5;;;;
48,41779875;1057,34;;;;
48,46205274;1049,5;;;;
48,51564924;1049,5;;;;
48,55990323;1049,5;;;;
48,61399144;1057,34;;;;
